threshold,recall_bad,recall_good,model_name
0.0,0.9998948806895827,0.0,Balanced Model
0.01,0.9998948806895827,0.0,Balanced Model
0.02,0.9998948806895827,0.0,Balanced Model
0.03,0.9998948806895827,0.0,Balanced Model
0.04,0.9997897613791653,0.0,Balanced Model
0.05,0.9996846420687481,0.0,Balanced Model
0.06,0.9996846420687481,0.0,Balanced Model
0.07,0.9996846420687481,0.0,Balanced Model
0.08,0.9994744034479134,0.0,Balanced Model
0.09,0.999369284137496,0.0,Balanced Model
0.1,0.9987385682749921,0.0,Balanced Model
0.11,0.9983180910333228,0.0,Balanced Model
0.12,0.9978976137916535,0.0,Balanced Model
0.13,0.9969515399978977,0.0,Balanced Model
0.14,0.9965310627562283,0.002053388090349076,Balanced Model
0.15,0.9959003468937244,0.002053388090349076,Balanced Model
0.16,0.9949542730999684,0.004106776180698152,Balanced Model
0.17,0.9940081993062125,0.004106776180698152,Balanced Model
0.18,0.9921160517187008,0.004106776180698152,Balanced Model
0.19,0.9908546199936928,0.01026694045174538,Balanced Model
0.2,0.9880163986124251,0.014373716632443531,Balanced Model
0.21,0.9846525806790708,0.02053388090349076,Balanced Model
0.22,0.982129717229055,0.024640657084188913,Balanced Model
0.23,0.9795017344686219,0.024640657084188913,Balanced Model
0.24,0.9756123199831809,0.028747433264887063,Balanced Model
0.25,0.9715126668769053,0.028747433264887063,Balanced Model
0.26,0.9660464627352044,0.043121149897330596,Balanced Model
0.27,0.9595290654893304,0.0513347022587269,Balanced Model
0.28,0.9512246399663619,0.055441478439425054,Balanced Model
0.29,0.9426048565121413,0.061601642710472276,Balanced Model
0.3,0.934720908230842,0.07186858316221766,Balanced Model
0.31,0.9248396930516136,0.08008213552361396,Balanced Model
0.32,0.9142226426994638,0.08624229979466119,Balanced Model
0.33,0.9020288026910543,0.10061601642710473,Balanced Model
0.34,0.8887837695784716,0.11498973305954825,Balanced Model
0.35000000000000003,0.8723851571533691,0.11909650924024641,Balanced Model
0.36,0.8572479764532744,0.14168377823408623,Balanced Model
0.37,0.8412698412698413,0.16427104722792607,Balanced Model
0.38,0.819405024703038,0.18275154004106775,Balanced Model
0.39,0.7992221171029118,0.21765913757700206,Balanced Model
0.4,0.7779880163986124,0.2299794661190965,Balanced Model
0.41000000000000003,0.7557027225901398,0.2546201232032854,Balanced Model
0.42,0.7323662356774939,0.27104722792607805,Balanced Model
0.43,0.7064017660044151,0.28336755646817247,Balanced Model
0.44,0.6806475349521707,0.31006160164271046,Balanced Model
0.45,0.6502680542415642,0.34291581108829566,Balanced Model
0.46,0.6230421528434773,0.36960985626283366,Balanced Model
0.47000000000000003,0.5907705245453589,0.3921971252566735,Balanced Model
0.48,0.5611268790076737,0.4271047227926078,Balanced Model
0.49,0.5331651424366656,0.44969199178644764,Balanced Model
0.5,0.5021549458635551,0.4804928131416838,Balanced Model
0.51,0.47030379480710605,0.5071868583162218,Balanced Model
0.52,0.4399243140964995,0.5462012320328542,Balanced Model
0.53,0.41417008304425523,0.5728952772073922,Balanced Model
0.54,0.3891516871649322,0.5975359342915811,Balanced Model
0.55,0.36045411542100286,0.6180698151950719,Balanced Model
0.56,0.3308104698833176,0.6427104722792608,Balanced Model
0.5700000000000001,0.30158730158730157,0.6632443531827515,Balanced Model
0.58,0.27425628087879744,0.6837782340862423,Balanced Model
0.59,0.25165562913907286,0.7125256673511293,Balanced Model
0.6,0.22632187532849785,0.731006160164271,Balanced Model
0.61,0.2043519394512772,0.7638603696098563,Balanced Model
0.62,0.18511510564490696,0.7885010266940452,Balanced Model
0.63,0.1692420897718911,0.811088295687885,Balanced Model
0.64,0.1492694207925996,0.8316221765913757,Balanced Model
0.65,0.13234521181541048,0.8521560574948666,Balanced Model
0.66,0.11804898559865447,0.8726899383983573,Balanced Model
0.67,0.10469883317565437,0.893223819301848,Balanced Model
0.68,0.09250499316724482,0.8993839835728953,Balanced Model
0.6900000000000001,0.07936507936507936,0.9075975359342916,Balanced Model
0.7000000000000001,0.06895826763376432,0.9260780287474333,Balanced Model
0.71,0.058761694523283926,0.9383983572895277,Balanced Model
0.72,0.04961631451697677,0.9425051334702259,Balanced Model
0.73,0.041837485546094816,0.9527720739219713,Balanced Model
0.74,0.03595080416272469,0.9568788501026694,Balanced Model
0.75,0.02985388415851992,0.9609856262833676,Balanced Model
0.76,0.025123515189740354,0.9671457905544147,Balanced Model
0.77,0.019867549668874173,0.973305954825462,Balanced Model
0.78,0.01660885104593714,0.9794661190965093,Balanced Model
0.79,0.012929675181330811,0.9815195071868583,Balanced Model
0.8,0.010406811731315043,0.9815195071868583,Balanced Model
0.81,0.008514664143803218,0.9856262833675564,Balanced Model
0.8200000000000001,0.007148113108378009,0.9876796714579056,Balanced Model
0.8300000000000001,0.005676442762535478,0.9917864476386037,Balanced Model
0.84,0.004415011037527594,0.9917864476386037,Balanced Model
